UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
17285715,3487936,07/22/2016,15:40,554272,NY,Convertible,VOLK -CAR/SUV,,2013,South,1,M,Licensed,NY,Stopped in Traffic,Right Rear Bumper,Right Rear Bumper,Center Back End,Left Rear Bumper,,N,,Unspecified,Unspecified
14809587,3268858,08/01/2015,8:17,2,NJ,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Passenger Distraction,
17307366,3499697,08/13/2016,21:05,650962,NY,Sedan,NISS -CAR/SUV,,2015,West,2,F,Licensed,NY,Going Straight Ahead,Left Side Doors,Left Side Doors,Left Rear Quarter Panel,,,N,,Unspecified,Unspecified
19140791,4229563,10/21/2019,17:55,86a294b4-6672-4a7e-8357-39d6d2eff9f7,PA,Sedan,BMW -CAR/SUV,,2006,North,2,F,Licensed,PA,Going Straight Ahead,Center Front End,Right Front Bumper,Right Front Quarter Panel,Right Front Bumper,,N,,Unspecified,Unspecified
19694316,4322767,06/06/2020,18:30,fdc195a7-8127-4c00-834d-bac78b0cf88e,,Bike,,,,South,1,M,Licensed,NY,Going Straight Ahead,Center Front End,No Damage,No Damage,No Damage,No Damage,N,,Traffic Control Disregarded,Unspecified
11912713,176016,08/11/2012,19:36,2,NY,BICYCLE,,,,,,,,,,,,,,,,,Unspecified,
17401424,3516125,09/08/2016,14:40,764668,NY,Station Wagon/Sport Utility Vehicle,LINC -CAR/SUV,,2015,West,1,M,Licensed,NY,Stopped in Traffic,Right Rear Quarter Panel,Right Rear Quarter Panel,Right Rear Bumper,No Damage,No Damage,N,,Unspecified,Unspecified
9879462,79561,04/09/2013,15:10,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
16952374,3412270,04/01/2016,15:46,87497,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,TOYT 4RN,2015,South,1,M,,,Passing,Right Front Quarter Panel,No Damage,No Damage,No Damage,No Damage,N,,Unsafe Lane Changing,Traffic Control Disregarded
19140656,4229538,10/24/2019,17:30,70e5262a-bd27-48a6-99a1-1ec659804088,NY,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2018,North,3,F,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,,Unspecified,Unspecified
19139721,4228839,10/24/2019,16:00,5bb0b59a-ce74-4a04-9f92-1446ebfe4f46,NC,Sedan,TOYT -CAR/SUV,,1990,South,1,M,Licensed,NC,Going Straight Ahead,Right Side Doors,Right Side Doors,,,,N,,Unspecified,Unspecified
8704041,19615,07/16/2013,17:10,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
17222837,3542089,10/17/2016,16:00,993368,NY,Pick-up Truck,freig,,2006,South,0,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,,,,N,,Unspecified,Unspecified
9882078,328209,05/01/2014,21:16,1,FL,PASSENGER VEHICLE,,,,,,,,,Backing,,,,,,,,Unspecified,
14221219,3108421,08/04/2014,1:10,2,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
17277100,3579297,12/13/2016,7:55,1193510,NY,Station Wagon/Sport Utility Vehicle,HYUN -CAR/SUV,,2007,North,0,,,,Parked,Left Front Bumper,Left Front Bumper,Center Front End,Right Front Bumper,,N,,Unspecified,Unspecified
11758197,1014563,08/27/2014,14:30,2,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
14888316,3307950,10/02/2015,20:55,2,NY,PASSENGER VEHICLE,,,,,,,,,Changing Lanes,,,,,,,,Unspecified,
17169289,3533118,08/05/2016,12:35,613344,NJ,Sedan,MERZ -CAR/SUV,,,North,,,,,Merging,Left Front Quarter Panel,,,,,N,,Driver Inattention/Distraction,Unspecified
8889301,31225,12/10/2013,22:08,1,NJ,OTHER,,,,,,,,,,,,,,,,,Unspecified,
8393362,1113,10/26/2012,16:20,2,NY,BICYCLE,,,,,,,,,,,,,,,,,Unspecified,
19139288,4228955,10/24/2019,23:40,8e406c38-a35f-4a06-bd29-fb196b3adec0,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2011,East,3,M,Permit,NY,Going Straight Ahead,Left Side Doors,Left Side Doors,Left Front Quarter Panel,,,N,,Unspecified,Unspecified
19141039,4223842,10/14/2019,6:20,64b7fb10-b91b-4faa-8a30-baa797b1bf2c,,,,,,East,,,,,Going Straight Ahead,,,,,,N,,Driver Inattention/Distraction,Unspecified
12553012,1037702,10/11/2014,21:20,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Making Right Turn,,,,,,,,Driver Inattention/Distraction,
14925931,3326836,11/02/2015,11:00,2,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
14795557,3262048,07/20/2015,6:30,1,NY,TAXI,,,,,,,,,Parked,,,,,,,,Backing Unsafely,
8483670,9285,02/20/2014,17:30,2,,OTHER,,,,,,,,,,,,,,,,,Unspecified,
8404435,1009244,08/16/2014,12:50,2,NY,TAXI,,,,,,,,,Backing,,,,,,,,Driver Inattention/Distraction,
19138486,4228644,10/24/2019,10:25,8ada1656-bb64-4bba-91b5-f8872d9de368,NY,Sedan,TOYT -CAR/SUV,,2008,East,2,M,Licensed,NY,Going Straight Ahead,Center Front End,No Damage,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
19139804,4229205,10/24/2019,12:10,009f5608-f1c8-4747-91be-6b707a1fda3d,NY,Station Wagon/Sport Utility Vehicle,INFI -CAR/SUV,,2019,East,1,M,Licensed,NY,Entering Parked Position,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,Right Front Quarter Panel,Right Front Bumper,N,,Backing Unsafely,Driver Inattention/Distraction
10957637,126113,09/04/2012,7:00,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Lost Consciousness,
19140710,4229517,10/19/2019,13:30,79c04add-66ef-4f3b-a159-120379cfa8ac,,Bike,,,,North,1,M,,,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Failure to Yield Right-of-Way,Traffic Control Disregarded
9437002,57863,09/25/2012,12:50,1,NY,TAXI,,,,,,,,,,,,,,,,,Unspecified,
19140446,4229127,10/24/2019,20:30,c1353cd0-388f-4e93-887d-6743b7599d2b,NY,Sedan,HOND -CAR/SUV,,2017,West,1,F,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,,Unspecified,Unspecified
14826434,3277120,08/14/2015,14:20,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
19140792,4229563,10/21/2019,17:55,ca744068-6013-47f0-a661-a0fbb579eb47,NM,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2003,West,1,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Center Front End,Center Front End,Left Front Bumper,,N,,Unspecified,Unspecified
14462100,301826,11/07/2012,12:20,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
8569561,12254,07/22/2012,7:10,1,VA,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19139096,4229018,10/24/2019,21:55,6ce523e1-6a14-4bcb-8e98-b2bdc5a74542,NY,Sedan,HOND -CAR/SUV,,2018,South,3,M,Licensed,NY,Going Straight Ahead,Center Front End,Left Front Bumper,Right Front Bumper,,,N,,Failure to Yield Right-of-Way,Traffic Control Disregarded
10158114,2912640,11/22/2012,22:25,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
14658856,3204325,04/16/2015,15:58,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Other Vehicular,
15054978,3391837,02/20/2016,3:07,3,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
9273416,45437,08/17/2012,16:30,2,NY,OTHER,,,,,,,,,,,,,,,,,Other Vehicular,
11314325,2960132,12/18/2012,4:20,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19138903,4228921,10/24/2019,11:50,46176b3a-deda-4170-a186-7e7206b7a089,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2017,East,1,M,Licensed,NY,Slowing or Stopping,Center Front End,Center Front End,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
10062169,546846,07/15/2014,10:30,3,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
19140226,4229375,10/24/2019,14:00,f37a0689-c2cb-4ae6-9317-531dffa0f185,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2011,East,1,F,Licensed,NY,Making Left Turn,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,,Unspecified,Unspecified
14856165,3291849,09/06/2015,22:00,1,NY,PASSENGER VEHICLE,,,,,,,,,Stopped in Traffic,,,,,,,,Unspecified,
13851173,3097477,11/25/2013,20:00,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Driver Inattention/Distraction,
17045096,3432659,04/27/2016,19:15,198679,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,FORD ZZZ,2000,West,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Side Doors,Left Rear Quarter Panel,,N,,Following Too Closely,Unspecified
19138211,4228473,10/24/2019,3:35,49a6bfa1-9d8f-4303-b101-a57aa7f332ea,,Sedan,TOYT -CAR/SUV,,2015,South,0,,,,Going Straight Ahead,Right Front Bumper,Right Front Bumper,Center Front End,,,Y,,Other Vehicular,Other Vehicular
19139716,4228752,10/24/2019,13:30,ee1bb541-25e0-4335-accc-6638116cecdf,OK,Sedan,NISS -CAR/SUV,,2019,West,1,M,Licensed,NY,Making Right Turn,Left Front Bumper,Left Front Bumper,,,,N,,Unspecified,Unspecified
17187987,3482489,07/17/2016,17:45,529156,NJ,4 dr sedan,BMW -CAR/SUV,,2014,East,1,M,Licensed,NJ,Going Straight Ahead,Center Back End,Center Back End,,,,N,,Unspecified,Unspecified
13097877,1011403,08/20/2014,10:00,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Slowing or Stopping,,,,,,,,Unspecified,
19138997,4228597,10/24/2019,8:30,42998a22-2718-472b-a186-110eef8eb18a,NY,Sedan,TOYT -CAR/SUV,,2010,West,1,F,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Side Doors,,,N,,Unspecified,Unspecified
10230895,1034629,10/07/2014,15:05,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Turning Improperly,
17179435,3499115,08/10/2016,13:05,634943,NY,Flat Bed,FRHT-TRUCK/BUS,,2015,Southeast,1,M,Licensed,NY,Making Right Turn,Trailer,Trailer,,,,N,,Turning Improperly,Oversized Vehicle
14903590,3315642,10/14/2015,5:00,1,TX,LARGE COM VEH(6 OR MORE TIRES),,,,,,,,,Making Right Turn,,,,,,,,Physical Disability,
10385619,2927027,08/26/2012,16:29,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Fatigued/Drowsy,
14831062,3279405,08/17/2015,15:47,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Failure to Yield Right-of-Way,
12313986,2992280,07/15/2013,17:00,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Fatigued/Drowsy,
14842705,3285154,08/27/2015,7:20,1,NY,PASSENGER VEHICLE,,,,,,,,,Making Left Turn,,,,,,,,Prescription Medication,
8531488,10017,11/12/2012,16:55,2,GA,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
13233679,3045325,04/06/2013,7:05,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
10055389,86647,03/25/2013,7:50,1,NY,VAN,,,,,,,,,,,,,,,,,Unspecified,
15029165,3378782,01/27/2016,8:30,2,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
19139454,4228826,10/24/2019,9:20,cd5ccb9e-1de7-47af-bfc2-53ee8b0812a6,NY,4 dr sedan,NISS -CAR/SUV,,2000,North,1,F,Licensed,NY,Backing,Center Back End,Center Back End,,,,N,,Backing Unsafely,Driver Inexperience
14634311,3194230,03/26/2015,15:00,1,NY,PICK-UP TRUCK,,,,,,,,,Parked,,,,,,,,Unspecified,
15061195,3394984,02/25/2016,10:11,1,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
19140448,4229131,10/24/2019,22:20,a6920a97-5a7d-4f38-b7fe-3545f8c7e562,NY,Sedan,TOYT -CAR/SUV,,2019,West,1,F,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,Center Front End,Right Front Bumper,,N,,Unspecified,Unspecified
15079321,3404065,03/11/2016,21:31,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Fatigued/Drowsy,
19140660,4229698,10/23/2019,23:20,d9fafdef-41d3-4a65-8d98-40fc8693ff82,NY,Station Wagon/Sport Utility Vehicle,GMC -CAR/SUV,,2016,West,0,,,,Parked,Right Front Bumper,Right Front Bumper,Left Front Bumper,Center Front End,Right Front Quarter Panel,N,,Unspecified,Unspecified
19140322,4229321,10/24/2019,15:00,47b93a4c-8f9d-40f1-a007-48c1d94a7781,,,,,,,,,,,,,,,,,Unspecified,,,
13230693,240527,12/15/2012,16:00,2,NJ,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
14672130,3209911,04/27/2015,16:30,1,NJ,SPORT UTILITY / STATION WAGON,,,,,,,,,Backing,,,,,,,,Unspecified,
19139740,4229434,10/24/2019,18:20,775bcb70-da96-4f01-bf71-f4b0cc3a4428,NY,Sedan,KIA -CAR/SUV,,2004,West,4,M,Permit,NY,Backing,Center Back End,Center Back End,Left Rear Bumper,No Damage,No Damage,N,,Backing Unsafely,Driver Inexperience
14648143,3199977,04/08/2015,21:55,2,NY,PASSENGER VEHICLE,,,,,,,,,Starting from Parking,,,,,,,,Fatigued/Drowsy,
19138956,4228914,10/24/2019,16:50,30fd483d-0018-45ad-9d1a-25c82b7e3c7a,NY,Bus,IC,,2010,East,1,F,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,,,,Unspecified,,Unspecified,Unspecified
19139066,4229005,10/24/2019,16:00,009b7e5e-29da-445b-9276-970bb78ec945,,,,,,,,,,,,,,,,,Unspecified,,,
9977047,335025,05/13/2014,16:50,2,NY,PASSENGER VEHICLE,,,,,,,,,Slowing or Stopping,,,,,,,,Traffic Control Disregarded,
8395403,2148,03/17/2013,16:00,2,NY,TAXI,,,,,,,,,,,,,,,,,Unspecified,
14519990,3146846,01/02/2015,17:20,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
19139241,4228592,10/24/2019,7:40,48ae5413-c7b5-460d-9faf-779de08209dc,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2018,West,2,F,Licensed,NY,Making Right Turn,Right Rear Quarter Panel,Right Rear Quarter Panel,,,,N,,Unspecified,Unspecified
8532175,10366,01/30/2013,1:30,1,NY,TAXI,,,,,,,,,,,,,,,,,Unspecified,
14603135,3181296,03/05/2015,18:30,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Parked,,,,,,,,Unspecified,
14747912,3240710,06/15/2015,17:12,1,NY,PASSENGER VEHICLE,,,,,,,,,Stopped in Traffic,,,,,,,,Unspecified,
19139175,4229059,10/24/2019,14:05,487215a5-cfe8-4a9a-9a23-7a341c5dedb1,NY,Box Truck,FORD-TRUCK/BUS,,2016,North,1,M,,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Unspecified
11161855,138062,05/29/2013,21:55,3,VA,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17072438,3444930,05/20/2016,23:30,328178,NY,Motorcycle,YAMA -MCL,,2012,North,1,M,Licensed,CA,Going Straight Ahead,Center Front End,Other,Other,Other,Other,Y,,Unspecified,Obstruction/Debris
19139591,4228907,10/24/2019,16:47,4525614b-2256-446f-be38-9d425b5ec7ba,NY,Station Wagon/Sport Utility Vehicle,CHEV -CAR/SUV,,2016,West,1,M,Licensed,NY,Making Right Turn,Left Front Bumper,Left Front Quarter Panel,,,,N,,Unspecified,Unspecified
19138926,4228939,10/24/2019,15:30,880a9965-6e28-41b2-93c1-59d3b56dd3b2,NJ,Sedan,HOND -CAR/SUV,,2008,North,1,M,Licensed,NJ,Going Straight Ahead,Right Side Doors,Right Side Doors,,,,N,,Unspecified,Unspecified
13239670,244061,11/05/2013,8:10,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Failure to Yield Right-of-Way,
19139178,4229062,10/24/2019,17:36,576ba188-4fbf-4751-b212-10d231c5cc3e,NJ,Sedan,LEXS -CAR/SUV,,2001,South,1,M,Licensed,NJ,Changing Lanes,Left Front Bumper,Left Front Quarter Panel,,,,N,,Driver Inattention/Distraction,Unsafe Lane Changing
19137605,4228440,10/24/2019,1:30,bfbf1368-b100-48aa-b60d-7f1afc145835,NY,Taxi,TOYT -CAR/SUV,,2016,East,1,M,Licensed,NY,Stopped in Traffic,Center Back End,Center Back End,No Damage,No Damage,No Damage,N,,Unspecified,Other Vehicular
13746922,264725,10/10/2012,18:30,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Backing Unsafely,
9283345,2849078,08/23/2013,16:50,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Other Vehicular,
19139393,4229031,10/24/2019,22:11,be6b4692-a968-400a-bc6a-a104d04f7023,NY,Bus,NOVA,,2011,South,0,M,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,No Damage,,,,N,,Driver Inattention/Distraction,Unspecified
9132270,362858,07/10/2014,8:00,2,NY,VAN,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
9124769,42484,08/22/2013,15:45,1,NY,TAXI,,,,,,,,,,,,,,,,,Unspecified,
13429375,314334,04/01/2014,15:40,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19139602,4228906,10/24/2019,20:00,60717794-b43e-4fed-bdaf-887b7ed2145a,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2017,East,0,,,,Parked,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,,Unspecified,Unspecified
11866785,175219,11/22/2013,13:00,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
19139689,4228979,10/24/2019,19:30,2ee4b550-87a2-48f1-a22e-aec25ba557c2,NY,Sedan,ACUR -CAR/SUV,,2010,East,0,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,,Following Too Closely,Unspecified
19140520,4229190,10/24/2019,13:00,1df01f2a-a9a3-4249-b88d-1487d09b9534,VA,Sedan,MAZD -CAR/SUV,,2003,Southwest,1,F,Licensed,VA,Making Left Turn,Left Rear Quarter Panel,Left Rear Quarter Panel,No Damage,,,N,,Unspecified,Unspecified
14546516,3157995,01/23/2015,20:00,3,NY,VAN,,,,,,,,,Parked,,,,,,,,Unspecified,
14463368,302418,03/15/2013,15:24,2,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,
19139431,4228912,10/24/2019,16:30,aa124d2e-46fd-4c53-a6b2-58b3c86958cf,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2015,East,1,F,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Driver Inattention/Distraction,Unspecified
9508187,2865358,05/30/2014,18:40,1,NY,PASSENGER VEHICLE,,,,,,,,,Stopped in Traffic,,,,,,,,Unspecified,
17234958,3478113,07/07/2016,18:00,504330,NY,2 dr sedan,PORS -CAR/SUV,,2003,East,0,,,,Parked,Right Rear Bumper,Right Rear Bumper,,,,N,,Unspecified,Unspecified
19140971,4229653,10/24/2019,9:45,a752c963-5bc7-4cd7-976c-edf5fc9a8ce1,NY,Station Wagon/Sport Utility Vehicle,MAZD -CAR/SUV,,2008,West,2,F,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,Left Rear Bumper,Right Rear Bumper,No Damage,N,,Unspecified,Unspecified
8396973,2921,06/12/2013,15:18,1,NY,VAN,,,,,,,,,,,,,,,,,Unspecified,
14411040,349583,06/09/2014,23:40,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Going Straight Ahead,,,,,,,,Outside Car Distraction,
8397469,3171,07/07/2013,18:30,2,UK,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,
19139060,4229012,10/24/2019,14:07,864298c2-162e-4933-9e8c-37f5310d66df,NY,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2018,Southwest,1,F,Licensed,NY,Making Right Turn,Right Side Doors,Right Side Doors,,,,N,,Driver Inexperience,Unspecified
9509261,1010643,08/19/2014,13:55,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Parked,,,,,,,,Unspecified,
9723046,359652,04/21/2014,6:10,2,NY,UNKNOWN,,,,,,,,,Going Straight Ahead,,,,,,,,Failure to Yield Right-of-Way,
19138706,4229068,10/24/2019,17:45,c32fcbfb-6a2f-4d46-9327-bf932693ba95,NY,Station Wagon/Sport Utility Vehicle,LEXS -CAR/SUV,,2017,East,2,F,Licensed,NY,Making Right Turn,Left Front Bumper,Left Front Bumper,Center Front End,,,N,,Unspecified,Unspecified
10316936,95966,11/10/2012,16:21,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
17316890,3519120,09/09/2016,16:20,787414,NY,Station Wagon/Sport Utility Vehicle,SUBA -CAR/SUV,,2012,South,1,F,Licensed,NY,Going Straight Ahead,Left Rear Bumper,Left Rear Bumper,,,,N,,Unspecified,Unspecified
19140729,4229528,10/24/2019,18:30,aab04bf0-9821-412b-9b3c-75fa1aab7d2a,FL,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2003,North,1,M,Licensed,NY,Making U Turn,Left Rear Quarter Panel,Left Rear Quarter Panel,No Damage,No Damage,No Damage,N,,Turning Improperly,Unspecified
19139989,4229116,10/24/2019,21:15,62f5b486-a42b-40a8-8e69-235ff549622f,NY,Sedan,NISS -CAR/SUV,,2010,West,1,M,Licensed,NY,Parked,Left Side Doors,Left Side Doors,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
19139681,4228970,10/24/2019,14:15,60ba5ffe-e104-4bc6-9294-f83a5134331c,MN,Station Wagon/Sport Utility Vehicle,MERZ -CAR/SUV,,2014,South,1,F,Licensed,MN,Backing,Left Rear Bumper,Left Rear Bumper,Center Back End,,,N,,Backing Unsafely,Unspecified
8397460,3167,07/06/2013,15:15,1,NY,MOTORCYCLE,,,,,,,,,,,,,,,,,Backing Unsafely,
12005192,184410,02/01/2014,23:50,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
19139436,4228925,10/24/2019,21:00,2ac16dae-e590-4f5e-b262-e32eee0e32d0,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2018,West,1,F,Licensed,NY,Going Straight Ahead,Left Rear Bumper,Left Rear Bumper,Left Rear Quarter Panel,,,N,,Unsafe Lane Changing,Driver Inexperience
19139524,4228675,10/24/2019,8:00,fc4d171e-83ef-405e-ac5a-8964eb4429c4,NY,Station Wagon/Sport Utility Vehicle,NISS -CAR/SUV,,2011,East,1,M,Licensed,NY,Going Straight Ahead,Right Front Quarter Panel,Right Front Quarter Panel,,,,N,,Unspecified,Unspecified
8708957,341525,05/27/2014,16:30,2,IL,BUS,,,,,,,,,Passing,,,,,,,,,
19138708,4229069,10/24/2019,17:00,5959b285-467e-4e64-acfb-38447df8dc0a,NY,Sedan,TOYT -CAR/SUV,,2012,East,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Left Rear Bumper,Right Rear Bumper,,,N,,Unspecified,Unspecified
15030134,3379266,01/28/2016,15:00,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,Parked,,,,,,,,Unspecified,
8995418,33951,01/22/2013,14:05,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
